Unnamed: 0,Xlig1_aver,B1,B2,TYPE,NH3_ligand,DG,index,DG-class,Unnamed: 8,KMeans_Cluster,DBSCAN_Cluster,Agglo_Cluster,Y=0.5*X+0.5*0.5*(B1+B2),variances,,,,,
PH2Ph-C6F5-OMe,1.96746988,3.2,2.518,0,2,18.6,92,4,,,,,2.41323494,0.024067647,,,,,
PH2Ph-CN-Me,1.96746988,2.795,2.2875,0,1,6.5,93,3,,,,,2.25435994,0.02397243,,,,,
none-C6F5-CF3,0,3.2,3.6225,0,0,-17.9,94,1,,,,,1.705625,0.023950097,,,,,
none-Br-Me,0,2.96,2.2875,0,0,-9.2,95,1,,,,,1.311875,0.023609985,,,,,
none-SiMe3-Et,0,2.257692308,2.3,0,0,-16.6,96,1,,,,,1.139423077,0.023499855,,,,,
none-Me-Et,0,2.2875,2.3,0,0,-14.2,97,1,,,,,1.146875,0.023353008,,,,,
PH2F-CN-tBu,1.784009547,2.795,2.307692308,0,2,27.5,98,4,,,,,2.167677851,0.023157917,,,,,
NH2C6F5-tBu-Et,2.2,2.307692308,2.3,0,1,44.6,99,4,,,,,2.251923077,0.02306259,,,,,
PH2F-C6F5-Ph,1.784009547,3.2,2.390909091,0,2,28.4,100,4,,,,,2.289732046,0.023056403,,,,,
none-Ph-CF3,0,2.390909091,3.6225,0,0,-17.1,101,1,,,,,1.503352273,0.023040039,,,,,
none-PMe2-PMe2,0,2.276666667,2.276666667,0,0,-7.1,102,1,,,,,1.138333334,0.02279204,,,,,
none-Br-OMe,0,2.96,2.518,1,0,14.4,103,4,,,,,1.3695,0.022629306,,,,,
CAAC-Cl-Cl,2.157687651,3.16,3.16,0,3,42.74,104,4,,,,,2.658843826,0.022514114,,,,,
NH2C6F5-CF3-Et,2.2,3.6225,2.3,0,1,31,105,4,,,,,2.580625,0.022463456,,,,,
NH2Ph-F-Et,2.342971888,3.98,2.3,0,1,-5,106,1,,,,,2.741485944,0.022223536,,,,,
NH2Ph-F-PMe2,2.342971888,3.98,2.276666667,0,1,-0.3,107,1,,,,,2.735652611,0.0221678,,,,,
none-C6F5-OMe,0,3.2,2.518,1,0,10.6,108,4,,,,,1.4295,0.02216275,,,,,
NH2Ph-H-NMe2,2.342971888,2.2,2.371111111,0,1,-2.2,109,1,,,,,2.314263722,0.022123614,,,,,
CAAC-C6F5-tBu,2.157687651,3.2,2.307692308,0,3,42.31,110,4,,,,,2.455766903,0.022113917,,,,,
PH2Ph-C6F5-Et,1.96746988,3.2,2.3,0,2,20.1,111,4,,,,,2.35873494,0.021983405,,,,,
none-Et-Me,0,2.3,2.2875,1,0,2.4,112,2,,,,,1.146875,0.021974465,,,,,
none-CF3-F,0,3.6225,3.98,0,0,-8.3,113,1,,,,,1.900625,0.021853065,,,,,
CAAC-Cl-Br,2.157687651,3.16,2.96,0,3,37.77,114,4,,,,,2.608843826,0.021813943,,,,,
NH2C6F5-Et-SiMe3,2.2,2.3,2.257692308,0,1,5.6,115,3,,,,,2.239423077,0.021766073,,,,,
NH2Ph-PMe2-NMe2,2.342971888,2.276666667,2.371111111,0,1,-1.6,116,1,,,,,2.333430389,0.021723146,,,,,
PH2F-H-CF3,1.784009547,2.2,3.6225,0,2,11.7,117,4,,,,,2.347629774,0.021715655,,,,,
none-Cl-PMe2,0,3.16,2.276666667,1,0,9.9,118,3,,,,,1.359166667,0.021694577,,,,,
NH2Ph-Me-OMe,2.342971888,2.2875,2.518,0,1,-4.3,119,1,,,,,2.372860944,0.021534623,,,,,
NH2C6F5-Br-Et,2.2,2.96,2.3,0,1,15.2,120,4,,,,,2.415,0.02151364,,,,,
CAAC-Et-NMe2,2.157687651,2.3,2.371111111,0,3,45.51,121,4,,,,,2.246621603,0.021488106,,,,,
PH2Ph-CN-Ph,1.96746988,2.795,2.390909091,0,1,13.7,122,4,,,,,2.280212213,0.021353056,,,,,
PH2C6F5-Et-Cl,1.864473684,2.3,3.16,0,2,13.5,123,4,,,,,2.297236842,0.021343337,,,,,
none-Br-OMe,0,2.96,2.518,0,0,1.6,124,2,,,,,1.3695,0.021124738,,,,,
NH2C6F5-H-Br,2.2,2.2,2.96,0,1,-1.6,125,1,,,,,2.39,0.021077021,,,,,
NH2Ph-C6F5-Ph,2.342971888,3.2,2.390909091,0,1,13.5,126,4,,,,,2.569213217,0.021025261,,,,,
none-SiMe3-F,0,2.257692308,3.98,0,0,-7.9,127,1,,,,,1.559423077,0.021005879,,,,,
none-Et-Et,0,2.3,2.3,1,0,2.8,128,2,,,,,1.15,0.020934508,,,,,
NH2C6F5-Et-Br,2.2,2.3,2.96,0,1,2.5,129,2,,,,,2.415,0.020851481,,,,,
none-PMe2-Et,0,2.276666667,2.3,1,0,8.1,130,3,,,,,1.144166667,0.020798354,,,,,
NH2Ph-C6F5-PMe2,2.342971888,3.2,2.276666667,0,1,14.5,131,4,,,,,2.540652611,0.02078072,,,,,
PH2F-CN-Ph,1.784009547,2.795,2.390909091,0,2,30.7,132,4,,,,,2.188482046,0.02065176,,,,,
CAAC-tBu-OMe,2.157687651,2.307692308,2.518,0,3,40.28,133,4,,,,,2.285266903,0.020583835,,,,,
PH2Ph-CF3-OMe,1.96746988,3.6225,2.518,0,2,13.2,134,4,,,,,2.51885994,0.020487805,,,,,
PH2F-CN-OMe,1.784009547,2.795,2.518,0,2,29.6,135,4,,,,,2.220254774,0.020445438,,,,,
NH2C6F5-OMe-SiMe3,2.2,2.518,2.257692308,0,1,3.2,136,2,,,,,2.293923077,0.020418433,,,,,
none-Br-SiMe3,0,2.96,2.257692308,1,0,6.1,137,3,,,,,1.304423077,0.020416394,,,,,
none-Cl-OMe,0,3.16,2.518,0,0,1.3,138,2,,,,,1.4195,0.02034131,,,,,
PH2F-Ph-tBu,1.784009547,2.390909091,2.307692308,0,2,11.5,139,4,,,,,2.066655123,0.020332875,,,,,
NH2Ph-Et-OMe,2.342971888,2.3,2.2875,0,1,-4.8,140,1,,,,,2.318360944,0.020261778,,,,,
NH2Ph-Me-NMe2,2.342971888,2.2875,2.371111111,0,1,-2.7,141,1,,,,,2.336138722,0.020056722,,,,,
PH2C6F5-C6F5-Ph,1.864473684,3.2,2.390909091,0,2,22.7,142,4,,,,,2.329964115,0.020024909,,,,,
PH2F-Et-SiMe3,1.784009547,2.3,2.257692308,0,2,13.1,143,4,,,,,2.031427851,0.019955714,,,,,
PH2F-F-Et,1.784009547,3.98,2.3,0,2,10.3,144,4,,,,,2.462004774,0.019948209,,,,,
none-Ph-Me,0,2.390909091,2.2875,0,0,-13.9,145,1,,,,,1.169602273,0.019932445,,,,,
none-C6F5-CF3,0,3.2,3.6225,1,0,0.1,146,2,,,,,1.705625,0.019894141,,,,,
none-C6F5-OMe,0,3.2,2.518,0,0,-2.4,147,1,,,,,1.4295,0.019808111,,,,,
NH2Ph-Me-tBu,2.342971888,2.2875,2.307692308,0,1,-0.1,148,1,,,,,2.320284021,0.019693502,,,,,
NH2Ph-CF3-NMe2,2.342971888,3.6225,2.371111111,0,1,1.4,149,2,,,,,2.669888722,0.019693181,,,,,
PH2F-Br-SiMe3,1.784009547,2.96,2.257692308,0,2,27.1,150,4,,,,,2.196427851,0.019648535,,,,,
PH2F-tBu-SiMe3,1.784009547,2.307692308,2.257692308,0,2,13,151,4,,,,,2.033350928,0.019494052,,,,,
PH2F-Br-OMe,1.784009547,2.96,2.518,0,2,25.9,152,4,,,,,2.261504774,0.019469051,,,,,
none-Cl-SiMe3,0,3.16,2.257692308,0,0,-12.4,153,1,,,,,1.354423077,0.01944675,,,,,
none-C6F5-Ph,0,3.2,2.390909091,0,0,-12.8,154,1,,,,,1.397727273,0.019399765,,,,,
PH2C6F5-Et-PMe2,1.864473684,2.3,2.276666667,0,2,15.6,155,4,,,,,2.076403509,0.019381807,,,,,
PH2C6F5-C6F5-OMe,1.864473684,3.2,2.518,0,2,19.3,156,4,,,,,2.361736842,0.019182694,,,,,
none-PMe2-F,0,2.276666667,3.98,0,0,-3.8,157,1,,,,,1.564166667,0.019119201,,,,,
CAAC-Br-tBu,2.157687651,2.96,2.307692308,0,3,34.3,158,4,,,,,2.395766903,0.019116671,,,,,
none-SiMe3-PMe2,0,2.257692308,2.276666667,0,0,-10.2,159,1,,,,,1.133589744,0.01902189,,,,,
none-SiMe3-PMe2,0,2.257692308,2.276666667,1,0,15,160,4,,,,,1.133589744,0.018952453,,,,,
NH2Ph-Br-NMe2,2.342971888,2.96,2.371111111,0,1,0.3,161,2,,,,,2.504263722,0.018937886,,,,,
none-CF3-F,0,3.6225,3.98,1,0,3.1,162,2,,,,,1.900625,0.018886975,,,,,
PH2F-Ph-Me,1.784009547,2.390909091,2.2875,0,2,14.4,163,4,,,,,2.061607046,0.018867516,,,,,
PH2Ph-CN-Br,1.96746988,2.795,2.96,0,2,22.1,164,4,,,,,2.42248494,0.018812761,,,,,
none-C6F5-SiMe3,0,3.2,2.257692308,0,0,-16,165,1,,,,,1.364423077,0.018655021,,,,,
PH2C6F5-H-CF3,1.864473684,2.2,3.6225,0,2,16.6,166,4,,,,,2.387861842,0.018604403,,,,,
none-CF3-Et,0,3.6225,2.3,1,0,0.4,167,2,,,,,1.480625,0.018506223,,,,,
PH2C6F5-C6F5-Et,1.864473684,3.2,2.3,0,2,19.6,168,4,,,,,2.307236842,0.018443325,,,,,
none-Ph-CF3,0,2.390909091,3.6225,1,0,-0.3,169,1,,,,,1.503352273,0.018414715,,,,,
